SER,LAT1,LNG1,LAT2,LNG2,Distance,Speed,Condition,TIME
82,18.997969,72.827252,18.998512,72.827552,0.069,31.050000000000004,None,Monday 03:38 13-07-2015
83,19.000479,72.828728,18.999816,72.828368,0.082,59.040000000000006,Medium,Monday 03:38 13-07-2015
84,19.001822,72.829428,19.001286,72.829157,0.081,32.400000000000006,None,Monday 03:38 13-07-2015
85,19.004981,72.831123,19.003655,72.830463,0.153,7.061538461538462,None,Monday 03:38 13-07-2015
86,19.009341,72.833666,19.008605,72.832925,0.113,27.12,Heavy,Monday 03:38 13-07-2015
87,18.957514,72.834702,18.957983,72.835176,0.074,13.319999999999999,None,Monday 03:38 13-07-2015
88,18.958069,72.835303,18.95786,72.835142,0.026,18.72,None,Monday 03:38 13-07-2015
89,18.941606,72.838689,18.943915,72.83926,0.264,38.016,None,Monday 03:38 13-07-2015
90,18.945818,72.839847,18.944582,72.839528,0.141,31.724999999999998,Mild,Monday 03:38 13-07-2015
91,18.951914,72.841242,18.953658,72.841663,0.199,27.553846153846155,Mild,Monday 03:38 13-07-2015
92,18.955012,72.842009,18.956268,72.842291,0.14,21.0,Mild,Monday 03:38 13-07-2015
93,18.960712,72.843383,18.962051,72.8437,0.153,36.72,Mild,Monday 03:38 13-07-2015
94,18.963129,72.844067,18.961524,72.843689,0.182,36.4,Mild,Monday 03:38 13-07-2015
95,18.964863,72.843729,18.96582,72.844158,0.112,26.88,Medium,Monday 03:38 13-07-2015
96,18.969111,72.845333,18.967911,72.845033,0.136,27.2,Mild,Monday 03:38 13-07-2015
97,18.975448,72.844308,18.976864,72.843981,0.165,28.28571428571429,Mild,Monday 03:38 13-07-2015
98,18.976039,72.842607,18.976075,72.844007,0.149,14.115789473684211,None,Monday 03:38 13-07-2015
99,18.975834,72.843889,18.975882,72.842248,0.175,14.0,None,Monday 03:38 13-07-2015
100,18.984813,72.842128,18.985801,72.842206,0.108,6.703448275862069,None,Monday 03:38 13-07-2015
1,18.928894,72.82123,18.93065,72.822389,0.236,23.599999999999998,Medium,Monday 03:58 13-07-2015
2,18.936343,72.824052,18.938941,72.824073,0.295,48.27272727272727,Mild,Monday 03:58 13-07-2015
3,18.942878,72.823247,18.945253,72.822142,0.291,49.88571428571428,Mild,Monday 03:58 13-07-2015
4,18.955284,72.813328,18.955994,72.810957,0.266,43.52727272727273,Mild,Monday 03:58 13-07-2015
5,18.956,72.808167,18.954874,72.807652,0.157,6.350561797752809,Mild,Monday 03:58 13-07-2015
7,18.948713,72.799082,18.948459,72.798561,0.061,31.37142857142857,Medium,Monday 03:59 13-07-2015
8,18.948436,72.797315,18.949085,72.796031,0.154,27.720000000000002,Heavy,Monday 03:59 13-07-2015
9,18.950108,72.796269,18.949382,72.79782,0.192,20.94545454545455,Heavy,Monday 03:59 13-07-2015
10,18.955423,72.798752,18.954404,72.79817,0.134,19.296,Heavy,Monday 03:59 13-07-2015
11,18.958878,72.800716,18.956839,72.799632,0.255,30.6,Medium,Monday 03:59 13-07-2015
12,18.961283,72.801633,18.960705,72.801081,0.091,25.2,Mild,Monday 03:59 13-07-2015
13,18.964621,72.804841,18.964003,72.803307,0.185,16.24390243902439,None,Monday 03:59 13-07-2015
14,18.964789,72.804229,18.965824,72.803618,0.136,24.48,None,Monday 03:59 13-07-2015
15,18.966946,72.80343,18.968098,72.803376,0.132,29.700000000000003,None,Monday 03:59 13-07-2015
16,18.971493,72.804716,18.971969,72.804874,0.056,33.6,None,Monday 03:59 13-07-2015
17,18.972104,72.805066,18.971657,72.804849,0.055,22.0,None,Monday 03:59 13-07-2015
18,18.972297,72.805041,18.972875,72.80535,0.08,22.153846153846153,None,Monday 03:59 13-07-2015
19,18.973796,72.805936,18.973071,72.805582,0.097,17.46,None,Monday 03:59 13-07-2015
20,18.974724,72.806247,18.975446,72.806761,0.087,19.575,None,Monday 03:59 13-07-2015
21,18.976087,72.807383,18.975684,72.807026,0.054,21.6,Mild,Monday 03:59 13-07-2015
22,18.97645,72.808619,18.976967,72.809319,0.111,19.98,None,Monday 03:59 13-07-2015
23,18.976762,72.809317,18.976156,72.809057,0.071,25.56,Heavy,Monday 03:59 13-07-2015
24,18.977678,72.811138,18.977693,72.810336,0.094,14.1,None,Monday 03:59 13-07-2015
25,18.978048,72.81202,18.97748,72.811573,0.497,16.414678899082567,None,Monday 03:59 13-07-2015
26,18.978162,72.812147,18.97837,72.813426,0.13,29.25,None,Monday 03:59 13-07-2015
27,18.979868,72.812791,18.978879,72.811941,0.143,46.8,Mild,Monday 03:59 13-07-2015
28,18.98071,72.813269,18.981651,72.814084,0.135,60.75000000000001,None,Monday 03:59 13-07-2015
29,18.983092,72.815113,18.98225,72.814737,0.099,44.550000000000004,Mild,Monday 03:59 13-07-2015
30,18.987883,72.813882,18.986868,72.813963,0.113,31.29230769230769,None,Monday 03:59 13-07-2015
31,18.986724,72.813879,18.988005,72.81374,0.141,31.724999999999998,None,Monday 03:59 13-07-2015
32,18.990721,72.814103,18.989468,72.813988,0.143,16.606451612903225,None,Monday 03:59 13-07-2015
33,18.990229,72.813881,18.991522,72.813982,0.162,16.200000000000003,Mild,Monday 03:59 13-07-2015
34,18.954466,72.807438,18.953457,72.806617,0.15,33.75,Medium,Monday 03:59 13-07-2015
35,18.952005,72.803763,18.951531,72.803066,0.093,13.392,None,Monday 03:59 13-07-2015
36,18.950762,72.801824,18.951323,72.802454,0.093,33.48,Medium,Monday 03:59 13-07-2015
37,18.950328,72.795877,18.949412,72.797768,0.241,21.160975609756097,Heavy,Monday 03:59 13-07-2015
38,18.964065,72.807131,18.964598,72.805205,0.218,19.14146341463415,None,Monday 03:59 13-07-2015
39,18.970136,72.809511,18.968645,72.808739,0.186,27.9,Mild,Monday 03:59 13-07-2015
40,18.969264,72.808546,18.970304,72.807639,0.16,13.395348837209303,None,Monday 03:59 13-07-2015
41,18.972744,72.809281,18.973911,72.809147,0.128,30.720000000000002,None,Monday 03:59 13-07-2015
42,18.976006,72.809055,18.975113,72.809125,0.097,24.942857142857143,Medium,Monday 03:59 13-07-2015
43,18.976356,72.808626,18.976341,72.807913,0.073,16.425,None,Monday 03:59 13-07-2015
44,18.976757,72.809152,18.977376,72.809667,0.092,23.657142857142855,Medium,Monday 03:59 13-07-2015
45,18.956838,72.808349,18.957833,72.808956,0.13,24.63157894736842,Medium,Monday 03:59 13-07-2015
46,18.958579,72.810146,18.959685,72.809513,0.142,23.236363636363635,Medium,Monday 03:59 13-07-2015
47,18.957528,72.811734,18.958482,72.810232,0.191,20.836363636363636,Mild,Monday 03:59 13-07-2015
48,18.958533,72.810356,18.957868,72.811402,0.134,16.634482758620692,Medium,Monday 03:59 13-07-2015
49,18.957214,72.812501,18.956427,72.813789,0.161,20.7,Medium,Monday 03:59 13-07-2015
51,18.955434,72.816025,18.956464,72.815657,0.12,24.0,Mild,Monday 03:59 13-07-2015
52,18.960663,72.808893,18.962453,72.807965,3.969,21.2625,None,Monday 03:59 13-07-2015
53,18.963618,72.807614,18.96465,72.807447,0.124,10.145454545454546,None,Monday 03:59 13-07-2015
54,18.965672,72.807481,18.96499,72.807512,0.074,53.279999999999994,Heavy,Monday 03:59 13-07-2015
55,18.967609,72.808049,18.968753,72.808679,0.143,32.175,Mild,Monday 03:59 13-07-2015
56,18.956996,72.81601,18.957341,72.817174,0.127,21.77142857142857,None,Monday 03:59 13-07-2015
57,18.957709,72.818437,18.958018,72.819451,0.11,20.842105263157897,None,Monday 03:59 13-07-2015
58,18.957955,72.820221,18.9578,72.819019,0.136,20.400000000000002,None,Monday 03:59 13-07-2015
59,18.958134,72.8217,18.958163,72.823554,0.199,21.70909090909091,None,Monday 03:59 13-07-2015
60,18.958164,72.82549,18.958174,72.827121,0.194,12.69818181818182,None,Monday 03:59 13-07-2015
61,18.958159,72.82788,18.958192,72.829009,0.132,14.850000000000001,None,Monday 03:59 13-07-2015
62,18.958024,72.828711,18.958032,72.82792,0.082,14.760000000000002,Mild,Monday 03:59 13-07-2015
63,18.964841,72.812821,18.966307,72.813336,0.165,16.97142857142857,Heavy,Monday 03:59 13-07-2015
64,18.968975,72.815186,18.969346,72.816511,0.192,6.283636363636364,Mild,Monday 03:59 13-07-2015
65,18.968928,72.820706,18.970212,72.82118,0.152,21.887999999999998,Heavy,Monday 03:59 13-07-2015
66,18.973778,72.822758,18.975919,72.823617,0.264,18.276923076923076,Medium,Monday 03:59 13-07-2015
67,18.978836,72.824663,18.980487,72.826213,0.246,19.252173913043478,Heavy,Monday 03:59 13-07-2015
68,18.981897,72.824993,18.98144,72.826044,0.113,27.12,None,Monday 03:59 13-07-2015
69,18.981643,72.826454,18.982328,72.826082,0.087,14.236363636363636,None,Monday 03:59 13-07-2015
70,18.981524,72.827128,18.982447,72.827935,0.137,24.66,None,Monday 03:59 13-07-2015
71,18.982929,72.828525,18.981849,72.827551,0.161,22.29230769230769,Mild,Monday 03:59 13-07-2015
72,18.98091,72.826409,18.981423,72.826623,0.051,22.95,Medium,Monday 03:59 13-07-2015
73,18.980939,72.827356,18.98075,72.827981,0.069,31.050000000000004,None,Monday 03:59 13-07-2015
74,18.979483,72.818544,18.979879,72.820695,0.231,29.700000000000003,None,Monday 03:59 13-07-2015
75,18.981878,72.823192,18.983364,72.824286,0.756,18.514285714285712,None,Monday 03:59 13-07-2015
76,18.985476,72.824405,18.984449,72.824802,0.121,29.04,None,Monday 03:59 13-07-2015
77,18.988847,72.822479,18.991728,72.82094,0.372,26.784,None,Monday 03:59 13-07-2015
78,18.989744,72.822119,18.98772,72.823216,0.257,13.217142857142857,None,Monday 03:59 13-07-2015
79,18.989781,72.823019,18.990971,72.823641,0.148,22.2,None,Monday 03:59 13-07-2015
80,18.994643,72.825702,18.99334,72.825021,0.165,37.125,None,Monday 03:59 13-07-2015
81,18.997869,72.827358,18.997189,72.826998,0.082,59.040000000000006,None,Monday 03:59 13-07-2015
82,18.997969,72.827252,18.998512,72.827552,0.069,31.050000000000004,None,Monday 03:59 13-07-2015
83,19.000479,72.828728,18.999816,72.828368,0.082,59.040000000000006,Medium,Monday 03:59 13-07-2015
84,19.001822,72.829428,19.001286,72.829157,0.081,32.400000000000006,None,Monday 03:59 13-07-2015
85,19.004981,72.831123,19.003655,72.830463,0.153,6.972151898734177,None,Monday 03:59 13-07-2015
86,19.009341,72.833666,19.008605,72.832925,0.113,27.12,Heavy,Monday 03:59 13-07-2015
87,18.957514,72.834702,18.957983,72.835176,0.074,13.319999999999999,None,Monday 03:59 13-07-2015
88,18.958069,72.835303,18.95786,72.835142,0.026,18.72,None,Monday 03:59 13-07-2015
89,18.941606,72.838689,18.943915,72.83926,0.264,38.016,None,Monday 03:59 13-07-2015
90,18.945818,72.839847,18.944582,72.839528,0.141,31.724999999999998,Mild,Monday 03:59 13-07-2015
91,18.951914,72.841242,18.953658,72.841663,0.199,27.553846153846155,Mild,Monday 03:59 13-07-2015
92,18.955012,72.842009,18.956268,72.842291,0.14,21.0,Mild,Monday 03:59 13-07-2015
93,18.960712,72.843383,18.962051,72.8437,0.153,34.425,Mild,Monday 03:59 13-07-2015
94,18.963129,72.844067,18.961524,72.843689,0.182,36.4,Mild,Monday 03:59 13-07-2015
95,18.964863,72.843729,18.96582,72.844158,0.112,26.88,Medium,Monday 03:59 13-07-2015
96,18.969111,72.845333,18.967911,72.845033,0.136,27.2,Mild,Monday 03:59 13-07-2015
97,18.975448,72.844308,18.976864,72.843981,0.165,28.28571428571429,Mild,Monday 03:59 13-07-2015
98,18.976039,72.842607,18.976075,72.844007,0.149,14.115789473684211,None,Monday 03:59 13-07-2015
99,18.975834,72.843889,18.975882,72.842248,0.175,14.0,None,Monday 03:59 13-07-2015
100,18.984813,72.842128,18.985801,72.842206,0.108,6.703448275862069,None,Monday 03:59 13-07-2015
1,18.928894,72.82123,18.93065,72.822389,0.236,23.599999999999998,Medium,Monday 04:19 13-07-2015
2,18.936343,72.824052,18.938941,72.824073,0.295,48.27272727272727,Mild,Monday 04:19 13-07-2015
3,18.942878,72.823247,18.945253,72.822142,0.291,43.65,Medium,Monday 04:19 13-07-2015
4,18.955284,72.813328,18.955994,72.810957,0.266,43.52727272727273,Mild,Monday 04:19 13-07-2015
5,18.956,72.808167,18.954874,72.807652,0.157,6.350561797752809,Mild,Monday 04:19 13-07-2015
7,18.948713,72.799082,18.948459,72.798561,0.061,31.37142857142857,Medium,Monday 04:19 13-07-2015
8,18.948436,72.797315,18.949085,72.796031,0.154,27.720000000000002,Heavy,Monday 04:19 13-07-2015
9,18.950108,72.796269,18.949382,72.79782,0.192,20.94545454545455,Heavy,Monday 04:19 13-07-2015
10,18.955423,72.798752,18.954404,72.79817,0.134,19.296,Heavy,Monday 04:19 13-07-2015
11,18.958878,72.800716,18.956839,72.799632,0.255,30.6,Medium,Monday 04:19 13-07-2015
12,18.961283,72.801633,18.960705,72.801081,0.091,18.2,Heavy,Monday 04:19 13-07-2015
13,18.964621,72.804841,18.964003,72.803307,0.185,12.566037735849056,Medium,Monday 04:19 13-07-2015
14,18.964789,72.804229,18.965824,72.803618,0.136,16.882758620689657,Mild,Monday 04:19 13-07-2015
15,18.966946,72.80343,18.968098,72.803376,0.132,19.8,Heavy,Monday 04:19 13-07-2015
16,18.971493,72.804716,18.971969,72.804874,0.056,33.6,None,Monday 04:19 13-07-2015
17,18.972104,72.805066,18.971657,72.804849,0.055,22.0,None,Monday 04:19 13-07-2015
18,18.972297,72.805041,18.972875,72.80535,0.08,22.153846153846153,None,Monday 04:19 13-07-2015
19,18.973796,72.805936,18.973071,72.805582,0.097,18.378947368421052,None,Monday 04:19 13-07-2015
20,18.974724,72.806247,18.975446,72.806761,0.087,19.575,None,Monday 04:19 13-07-2015
21,18.976087,72.807383,18.975684,72.807026,0.054,21.6,Mild,Monday 04:19 13-07-2015
22,18.97645,72.808619,18.976967,72.809319,0.122,14.16774193548387,Mild,Monday 04:19 13-07-2015
23,18.976762,72.809317,18.976156,72.809057,0.071,25.56,Heavy,Monday 04:19 13-07-2015
24,18.977678,72.811138,18.977693,72.810336,0.094,14.1,None,Monday 04:19 13-07-2015
25,18.978048,72.81202,18.97748,72.811573,0.497,16.414678899082567,None,Monday 04:19 13-07-2015
26,18.978162,72.812147,18.97837,72.813426,0.13,19.5,Medium,Monday 04:19 13-07-2015
27,18.979868,72.812791,18.978879,72.811941,0.143,46.8,Mild,Monday 04:19 13-07-2015
28,18.98071,72.813269,18.981651,72.814084,0.135,60.75000000000001,None,Monday 04:19 13-07-2015
29,18.983092,72.815113,18.98225,72.814737,0.099,44.550000000000004,Mild,Monday 04:19 13-07-2015
30,18.987883,72.813882,18.986868,72.813963,0.113,31.29230769230769,None,Monday 04:19 13-07-2015
31,18.986724,72.813879,18.988005,72.81374,0.141,23.07272727272727,Medium,Monday 04:19 13-07-2015
32,18.990721,72.814103,18.989468,72.813988,0.143,16.606451612903225,None,Monday 04:19 13-07-2015
33,18.990229,72.813881,18.991522,72.813982,0.144,12.959999999999999,Medium,Monday 04:19 13-07-2015
34,18.954466,72.807438,18.953457,72.806617,0.15,33.75,Medium,Monday 04:19 13-07-2015
35,18.952005,72.803763,18.951531,72.803066,0.093,13.392,None,Monday 04:19 13-07-2015
36,18.950762,72.801824,18.951323,72.802454,0.093,33.48,Medium,Monday 04:19 13-07-2015
37,18.950328,72.795877,18.949412,72.797768,0.241,21.160975609756097,Heavy,Monday 04:19 13-07-2015
38,18.964065,72.807131,18.964598,72.805205,0.218,19.14146341463415,None,Monday 04:19 13-07-2015
39,18.970136,72.809511,18.968645,72.808739,0.186,27.9,Mild,Monday 04:19 13-07-2015
40,18.969264,72.808546,18.970304,72.807639,0.16,13.395348837209303,None,Monday 04:19 13-07-2015
41,18.972744,72.809281,18.973911,72.809147,0.128,30.720000000000002,None,Monday 04:19 13-07-2015
42,18.976006,72.809055,18.975113,72.809125,0.097,11.264516129032259,Heavy,Monday 04:19 13-07-2015
43,18.976356,72.808626,18.976341,72.807913,0.073,16.425,None,Monday 04:19 13-07-2015
44,18.976757,72.809152,18.977376,72.809667,0.092,23.657142857142855,Medium,Monday 04:19 13-07-2015
45,18.956838,72.808349,18.957833,72.808956,0.13,24.63157894736842,Medium,Monday 04:19 13-07-2015
46,18.958579,72.810146,18.959685,72.809513,0.142,23.236363636363635,Medium,Monday 04:19 13-07-2015
47,18.957528,72.811734,18.958482,72.810232,0.191,20.836363636363636,Mild,Monday 04:19 13-07-2015
48,18.958533,72.810356,18.957868,72.811402,0.134,15.561290322580644,Medium,Monday 04:19 13-07-2015
49,18.957214,72.812501,18.956427,72.813789,0.161,20.7,Medium,Monday 04:19 13-07-2015
51,18.955434,72.816025,18.956464,72.815657,0.12,24.0,Mild,Monday 04:19 13-07-2015
52,18.960663,72.808893,18.962453,72.807965,3.969,21.2625,None,Monday 04:19 13-07-2015
53,18.963618,72.807614,18.96465,72.807447,0.124,10.145454545454546,None,Monday 04:19 13-07-2015
54,18.965672,72.807481,18.96499,72.807512,0.074,53.279999999999994,Heavy,Monday 04:19 13-07-2015
55,18.967609,72.808049,18.968753,72.808679,0.143,19.799999999999997,Heavy,Monday 04:19 13-07-2015
56,18.956996,72.81601,18.957341,72.817174,0.127,21.77142857142857,None,Monday 04:19 13-07-2015
57,18.957709,72.818437,18.958018,72.819451,0.11,22.0,None,Monday 04:19 13-07-2015
58,18.957955,72.820221,18.9578,72.819019,0.136,13.6,Heavy,Monday 04:19 13-07-2015
59,18.958134,72.8217,18.958163,72.823554,0.199,21.70909090909091,None,Monday 04:19 13-07-2015
60,18.958164,72.82549,18.958174,72.827121,0.194,12.69818181818182,None,Monday 04:19 13-07-2015
61,18.958159,72.82788,18.958192,72.829009,0.132,9.69795918367347,Heavy,Monday 04:19 13-07-2015
62,18.958024,72.828711,18.958032,72.82792,0.082,14.760000000000002,Mild,Monday 04:19 13-07-2015
63,18.964841,72.812821,18.966307,72.813336,0.165,16.97142857142857,Heavy,Monday 04:19 13-07-2015
64,18.968975,72.815186,18.969346,72.816511,0.192,6.283636363636364,Mild,Monday 04:19 13-07-2015
65,18.968928,72.820706,18.970212,72.82118,0.152,21.887999999999998,Heavy,Monday 04:19 13-07-2015
66,18.973778,72.822758,18.975919,72.823617,0.264,18.276923076923076,Medium,Monday 04:19 13-07-2015
67,18.978836,72.824663,18.980487,72.826213,0.246,19.252173913043478,Heavy,Monday 04:19 13-07-2015
68,18.981897,72.824993,18.98144,72.826044,0.113,27.12,None,Monday 04:19 13-07-2015
69,18.981643,72.826454,18.982328,72.826082,0.087,14.236363636363636,None,Monday 04:19 13-07-2015
70,18.981524,72.827128,18.982447,72.827935,0.137,24.66,None,Monday 04:19 13-07-2015
71,18.982929,72.828525,18.981849,72.827551,0.161,13.47906976744186,Heavy,Monday 04:19 13-07-2015
72,18.98091,72.826409,18.981423,72.826623,0.051,26.228571428571428,Mild,Monday 04:19 13-07-2015
73,18.980939,72.827356,18.98075,72.827981,0.069,31.050000000000004,None,Monday 04:19 13-07-2015
74,18.979483,72.818544,18.979879,72.820695,0.231,29.700000000000003,None,Monday 04:19 13-07-2015
75,18.981878,72.823192,18.983364,72.824286,0.756,18.514285714285712,None,Monday 04:19 13-07-2015
76,18.985476,72.824405,18.984449,72.824802,0.121,31.114285714285714,None,Monday 04:19 13-07-2015
77,18.988847,72.822479,18.991728,72.82094,0.372,26.784,None,Monday 04:19 13-07-2015
78,18.989744,72.822119,18.98772,72.823216,0.257,13.408695652173913,None,Monday 04:19 13-07-2015
79,18.989781,72.823019,18.990971,72.823641,0.148,22.2,None,Monday 04:19 13-07-2015
80,18.994643,72.825702,18.99334,72.825021,0.165,37.125,None,Monday 04:19 13-07-2015
81,18.997869,72.827358,18.997189,72.826998,0.082,59.040000000000006,None,Monday 04:19 13-07-2015
82,18.997969,72.827252,18.998512,72.827552,0.069,31.050000000000004,None,Monday 04:19 13-07-2015
83,19.000479,72.828728,18.999816,72.828368,0.082,59.040000000000006,Medium,Monday 04:19 13-07-2015
84,19.001822,72.829428,19.001286,72.829157,0.081,32.400000000000006,None,Monday 04:19 13-07-2015
85,19.004981,72.831123,19.003655,72.830463,0.153,7.061538461538462,None,Monday 04:19 13-07-2015
86,19.009341,72.833666,19.008605,72.832925,0.113,29.057142857142857,Heavy,Monday 04:19 13-07-2015
87,18.957514,72.834702,18.957983,72.835176,0.074,10.246153846153845,Medium,Monday 04:19 13-07-2015
88,18.958069,72.835303,18.95786,72.835142,0.026,18.72,None,Monday 04:19 13-07-2015
89,18.941606,72.838689,18.943915,72.83926,0.264,38.016,None,Monday 04:19 13-07-2015
90,18.945818,72.839847,18.944582,72.839528,0.141,31.724999999999998,Mild,Monday 04:19 13-07-2015
91,18.951914,72.841242,18.953658,72.841663,0.199,27.553846153846155,Mild,Monday 04:19 13-07-2015
92,18.955012,72.842009,18.956268,72.842291,0.14,21.0,Mild,Monday 04:19 13-07-2015
93,18.960712,72.843383,18.962051,72.8437,0.153,36.72,Mild,Monday 04:19 13-07-2015
94,18.963129,72.844067,18.961524,72.843689,0.182,36.4,Mild,Monday 04:19 13-07-2015
95,18.964863,72.843729,18.96582,72.844158,0.112,26.88,Medium,Monday 04:19 13-07-2015
96,18.969111,72.845333,18.967911,72.845033,0.136,27.2,Mild,Monday 04:19 13-07-2015
97,18.975448,72.844308,18.976864,72.843981,0.165,23.76,Medium,Monday 04:19 13-07-2015
98,18.976039,72.842607,18.976075,72.844007,0.149,14.115789473684211,None,Monday 04:19 13-07-2015
99,18.975834,72.843889,18.975882,72.842248,0.175,14.0,None,Monday 04:19 13-07-2015
100,18.984813,72.842128,18.985801,72.842206,0.108,6.703448275862069,None,Monday 04:19 13-07-2015
